Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Thomas Rademaker,CYCLING,08-10-2018,10:33:26,03:49:59,99.12,126,25.9,40.0,02:19,01:30,2314,48,,,,258,155,173,,180.0,73.0,196,55,61,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,91,14.4,04:10,,0,,2.00,,,
,00:00:01,91,15.9,03:46,,0,,2.00,,,
,00:00:02,91,17.2,03:29,,0,,7.70,,,
,00:00:03,91,18.2,03:18,,0,,14.10,,,
,00:00:04,91,19.0,03:09,,0,,20.50,,,
,00:00:05,91,19.4,03:06,,0,,27.00,,,
,00:00:06,91,19.3,03:07,,0,,33.80,,,
,00:00:07,91,18.7,03:13,,0,,40.50,,,
,00:00:08,90,18.2,03:18,,0,,46.70,,,
,00:00:09,90,17.7,03:23,,0,,52.40,,,
,00:00:10,90,17.8,03:22,,0,,57.90,,,
,00:00:11,90,18.3,03:17,,0,,63.50,,,
,00:00:12,90,19.1,03:08,,0,,69.10,,,
,00:00:13,90,19.7,03:03,,0,,74.90,,,
,00:00:14,90,20.2,02:58,,0,,80.40,,,
,00:00:15,90,20.5,02:56,,0,,85.90,,,
,00:00:16,90,20.7,02:54,,0,,91.70,,,
,00:00:17,90,21.0,02:51,,0,,98.00,,,
,00:00:18,90,21.8,02:45,,0,,104.80,,,
,00:00:19,90,22.4,02:41,,0,,111.80,,,
,00:00:20,91,23.1,02:36,,0,,118.80,,,
,00:00:21,91,23.8,02:31,,0,,125.90,,,
,00:00:22,92,24.4,02:28,,0,,133.30,,,
,00:00:23,93,24.8,02:25,,0,,140.90,,,
,00:00:24,95,25.3,02:22,,0,,148.80,,,
,00:00:25,96,25.5,02:21,,0,,156.90,,,
,00:00:26,97,25.7,02:20,,0,,165.10,,,
,00:00:27,99,25.8,02:20,,0,,173.10,,,
,00:00:28,102,25.7,02:20,,0,,181.00,,,
,00:00:29,104,25.7,02:20,,0,,189.00,,,
,00:00:30,106,25.6,02:21,,0,,196.80,,,
,00:00:31,107,25.6,02:21,,0,,204.70,,,
,00:00:32,108,25.7,02:20,,0,,212.30,,,
,00:00:33,109,25.8,02:20,,0,,220.10,,,
,00:00:34,109,26.7,02:15,,0,,227.70,,,
,00:00:35,110,27.1,02:13,,0,,235.50,,,
,00:00:36,110,27.2,02:12,,0,,243.10,,,
,00:00:37,111,27.1,02:13,,0,,250.80,,,
,00:00:38,111,27.0,02:13,,0,,258.30,,,
,00:00:39,111,26.7,02:15,,0,,266.00,,,
,00:00:40,111,26.2,02:17,,0,,273.30,,,
,00:00:41,111,25.5,02:21,,0,,280.60,,,
,00:00:42,111,24.8,02:25,,0,,287.40,,,
,00:00:43,111,24.4,02:28,,0,,293.80,,,
,00:00:44,111,24.4,02:28,,70,,300.30,,,
,00:00:45,111,24.7,02:26,,70,,306.70,,,
,00:00:46,110,25.1,02:23,,70,,313.40,,,
,00:00:47,110,25.5,02:21,,70,,320.10,,,
,00:00:48,110,25.9,02:19,,70,,327.00,,,
,00:00:49,110,26.2,02:17,,70,,333.80,,,
,00:00:50,109,26.5,02:16,,70,,341.30,,,
,00:00:51,109,26.6,02:15,,70,,348.70,,,
,00:00:52,109,26.8,02:14,,70,,356.70,,,
,00:00:53,109,27.0,02:13,,70,,364.40,,,
,00:00:54,109,27.2,02:12,,70,,372.20,,,
,00:00:55,108,27.4,02:11,,70,,380.20,,,
,00:00:56,109,27.4,02:11,,69,,388.00,,,
,00:00:57,109,27.3,02:12,,69,,395.70,,,
,00:00:58,110,26.9,02:14,,69,,403.40,,,
,00:00:59,110,26.7,02:15,,69,,410.80,,,
,00:01:00,110,26.6,02:15,,69,,418.20,,,
,00:01:01,111,26.5,02:16,,69,,425.80,,,
,00:01:02,112,26.4,02:16,,68,,433.20,,,
,00:01:03,112,26.6,02:15,,68,,440.30,,,
,00:01:04,113,27.0,02:13,,68,,447.60,,,
,00:01:05,113,27.3,02:12,,68,,455.20,,,
,00:01:06,114,27.4,02:11,,68,,462.70,,,
,00:01:07,115,27.5,02:11,,68,,470.20,,,
,00:01:08,115,27.6,02:10,,67,,478.00,,,
,00:01:09,116,27.6,02:10,,67,,485.90,,,
,00:01:10,117,27.5,02:11,,67,,493.70,,,
,00:01:11,117,27.1,02:13,,67,,501.40,,,
,00:01:12,117,26.5,02:16,,67,,509.10,,,
,00:01:13,117,25.8,02:20,,66,,516.40,,,
,00:01:14,117,25.0,02:24,,66,,523.20,,,
,00:01:15,116,24.2,02:29,,66,,529.80,,,
,00:01:16,116,23.8,02:31,,66,,536.00,,,
,00:01:17,115,23.9,02:31,,66,,542.30,,,
,00:01:18,115,24.3,02:28,,66,,548.60,,,
,00:01:19,114,24.8,02:25,,66,,555.00,,,
,00:01:20,114,25.4,02:22,,65,,561.60,,,
,00:01:21,113,25.9,02:19,,65,,568.40,,,
,00:01:22,113,26.4,02:16,,65,,575.60,,,
,00:01:23,113,27.0,02:13,,65,,583.10,,,
,00:01:24,112,27.5,02:11,,65,,590.90,,,
,00:01:25,112,28.0,02:09,,65,,599.20,,,
,00:01:26,112,28.1,02:08,,65,,607.60,,,
,00:01:27,112,28.2,02:08,,64,,615.80,,,
,00:01:28,112,28.3,02:07,,64,,623.80,,,
,00:01:29,112,28.9,02:05,,64,,632.20,,,
,00:01:30,113,29.5,02:02,,64,,640.80,,,
